Iteration;Input;Order;
3690000;1.5;679.461;
3700000;2.1;677.925;
3710000;1.2;683.94;
3720000;2;665.223;
3730000;1.3;697.034;
3740000;1.4;673.832;
3750000;1.8;672.328;
3760000;1.9;690.099;
3770000;2;694.213;
3780000;2.3;718.782;
3790000;1.9;686.399;
3800000;2.4;711.708;
3810000;2.1;691.671;
3820000;1.8;705.207;
3830000;1.7;691.637;
3840000;1.4;716.028;
3850000;1.5;691.524;
3860000;2.3;707.486;
3870000;1.7;704.107;
3880000;1.8;705.85;
3890000;1.7;770.078;
3900000;1.7;756.171;
3910000;1.8;715.648;
3920000;1.1;731.865;
3930000;2.1;710.312;
3940000;2.2;732.38;
3950000;1.4;716.387;
3960000;2.2;736.095;
3970000;1.8;719.728;
3980000;2.1;720.726;
3990000;2.5;748.091;
4000000;1.7;722.511;
4010000;1.4;728.149;
4020000;2.3;750.906;
4030000;1.6;742.372;
4040000;2;751.669;
4050000;1.9;741.681;
4060000;2.3;737.101;
4070000;1.3;738.009;
4080000;2.4;736.679;
4090000;1.8;755.751;
4100000;2.8;767.967;
4110000;2.7;775.211;
4120000;1.7;748.105;
4130000;1.7;759.261;
4140000;2.1;757.635;
4150000;2.2;764.345;
4160000;1.5;785.802;
4170000;2.2;808.574;
4180000;2.5;755.755;
4190000;1.3;761.193;
4200000;1.8;769.49;
4210000;1.9;757.033;
4220000;2.4;763.475;
4230000;2.5;794.399;
4240000;3.1;775.57;
4250000;2;770.505;
4260000;2.4;786.802;
4270000;1.4;779.74;
4280000;2.1;776.542;
4290000;1.7;778.562;
4300000;2.1;817.963;
4310000;2.4;815.407;
4320000;1.4;818.706;
4330000;1.9;839.703;
4340000;2.3;878.236;
4350000;2.7;892.611;
4360000;2;901.475;
4370000;1.4;871.021;
4380000;1.9;797.949;
4390000;1.5;797.757;
4400000;2;802.701;
4410000;2.3;806.801;
4420000;2.3;824.508;
4430000;4.4;810.37;
4440000;1.9;803.44;
4450000;1.6;808.008;
4460000;1.3;833.658;
4470000;2.4;805.553;
4480000;1.8;825.603;
4490000;3.5;937.171;
4500000;2;802.985;
4510000;2.4;837.008;
4520000;1.3;823.219;
4530000;2.7;815.124;
4540000;3.4;818.544;
4550000;2.2;835.871;
4560000;1.9;821.344;
4570000;2;823.98;
4580000;2.8;840.562;
4590000;2.1;829.933;
4600000;2.8;846.952;
4610000;2.1;870.759;
4620000;1.8;841.14;
4630000;1.5;843.695;
4640000;1.5;846.653;
4650000;1.7;853.287;
4660000;1.6;848.316;
4670000;2.3;906.38;
4680000;2.1;900.764;
4690000;1.7;840.645;
4700000;2.2;867.634;
4710000;2.2;860.195;
4720000;2.2;854.351;
4730000;2.7;858.266;
4740000;1.8;855.583;
4750000;1.9;859.61;
4760000;2;867.411;
4770000;3.1;861.274;
4780000;1.8;875.082;
4790000;1.6;922.767;
4800000;1.6;883.855;
4810000;2.1;901.575;
4820000;1.9;871.6;
4830000;1.9;913.43;
4840000;1.6;898.582;
4850000;2.1;927.083;
4860000;2.1;884.916;
4870000;2.5;877.668;
4880000;3.6;903.411;
4890000;1.7;901.563;
4900000;1.4;901.891;
4910000;3.1;916.829;
4920000;1.4;894.519;
4930000;1.6;897.443;
4940000;1.4;924.094;
4950000;1.8;903.416;
4960000;1.9;942.491;
4970000;2.7;909.215;
4980000;1.5;906.784;
4990000;2.9;931.064;
5000000;2.1;905.739;
5010000;1.5;908.57;
5020000;4.5;1031.2;
5030000;2.6;920.917;
5040000;1.9;912.021;
5050000;1.9;931.897;
5060000;3;909.631;
5070000;2.1;913.159;
5080000;2.6;923.849;
5090000;1.8;914.68;
5100000;1.8;927.442;
5110000;2.1;984.731;
5120000;2.8;932.446;
5130000;2.3;957.092;
5140000;1.6;944.821;
5150000;2.1;955.024;
5160000;1.5;926.891;
5170000;3.1;972.709;
5180000;1.8;973.985;
5190000;3.2;1006.84;
5200000;1.9;943.239;
5210000;2.7;1245.23;
5220000;2.2;1060.68;
5230000;1.6;951.754;
5240000;2.3;958.202;
5250000;1.4;970.258;
5260000;2;962.208;
5270000;1.7;948.305;
5280000;2.1;988.287;
5290000;1.9;962.062;
5300000;1.7;960.85;
5310000;2.3;962.515;
5320000;2.6;1035.64;
5330000;2;975.675;
5340000;2.7;1067.83;
5350000;2;984.953;
5360000;1.8;972.229;
5370000;1.8;1013.59;
5380000;1.8;979.63;
5390000;2.3;1019.15;
5400000;1.7;994.208;
5410000;2.2;974.684;
5420000;2;1008.09;
5430000;1.8;979.864;
5440000;1.4;987.496;
5450000;1.4;989.586;
5460000;2.3;1012.82;
5470000;1.8;989.958;
5480000;2.5;999.3;
5490000;2.5;1044.88;
5500000;2.3;1040.86;
5510000;1.7;1011.43;
5520000;2.3;1036.51;
5530000;2.3;1132.76;
5540000;2.4;1030.77;
5550000;2;1005.2;
5560000;2.5;1028.38;
5570000;1.7;1200.57;
5580000;1.9;1240.44;
5590000;1.8;1096.44;
5600000;2.4;1140.16;
5610000;2.3;1054.46;
5620000;2.2;1035.17;
5630000;2.1;1188.19;
5640000;3.4;1340.54;
5650000;2.1;1215.53;
5660000;2.3;1032.02;
5670000;2.1;1074.45;
5680000;2.6;1204.98;
5690000;2;1048.03;
5700000;1.4;1031.93;
5710000;1.9;1101.57;
5720000;3.4;1326.06;
5730000;2.1;1262.32;
5740000;2.4;1088.51;
5750000;2.6;1368.7;
5760000;2.6;1196.74;
5770000;2;1223.04;
5780000;1.8;1230.13;
5790000;1.8;1203.21;
5800000;2.9;1110.75;
5810000;2.2;1066.69;
5820000;2.3;1047.56;
5830000;2.1;1065.11;
5840000;2;1098.47;
5850000;2;1082.9;
5860000;2;1062.9;
5870000;1.2;1131.84;
5880000;3.3;1235.21;
5890000;3.3;1222.33;
5900000;2.4;1134.95;
5910000;2;1126.8;
5920000;2.9;1090.19;
5930000;1.4;1059.24;
5940000;2.9;1105.53;
5950000;3.5;1084.69;
5960000;2;1073.72;
5970000;1.7;1078.25;
5980000;2.4;1097.13;
5990000;2.4;1090.35;
6000000;2.1;1142.77;
6010000;2;1086.38;
6020000;1.7;1123.1;
6030000;3.1;1111.34;
6040000;2;1123.16;
6050000;2.3;1218.59;
6060000;1.5;1107.7;
6070000;1.7;1085.05;
6080000;1.7;1105.35;
6090000;2.5;1210.67;
6100000;2.4;1119.48;
6110000;5.9;1102.3;
6120000;2.6;1108.5;
6130000;1.9;1122.83;
6140000;2.3;1134;
6150000;1.8;1113.56;
6160000;1.8;1152.66;
6170000;3.1;1125.96;
6180000;1.9;1158.13;
6190000;2.2;1174.11;
6200000;2;1119.94;
6210000;1.5;1150.22;
6220000;2.5;1176.06;
6230000;2.5;1185.46;
6240000;2.6;1141.34;
6250000;1.9;1161.26;
6260000;2.4;1135.68;
6270000;2.1;1138.74;
6280000;2.4;1123.09;
6290000;2.1;1181.33;
6300000;2.4;1142.13;
6310000;1.5;1180.27;
6320000;3;1259.79;
6330000;3;1201.13;
6340000;1.5;1163.6;
6350000;1.7;1168.87;
6360000;2.1;1181.51;
6370000;2;1159.13;
6380000;2.1;1161.49;
6390000;1.7;1183.45;
6400000;2.2;1166.85;
6410000;2.9;1261.82;
6420000;1.5;1247.61;
6430000;1.3;1305.35;
6440000;2.3;1181.43;
6450000;3.8;1235.21;
6460000;2.3;1178.99;
6470000;1.6;1204.79;
6480000;2.6;1194.07;
6490000;1.9;1214.2;
6500000;1.8;1188.91;
6510000;2.1;1192.47;
6520000;2.2;1196.25;
6530000;2.7;1186.47;
